gene	0h_AL	1h_AL	1h_FAST	3h_AL	3h_FAST	4h_RF	6h_AL	6h_FAST	12h_AL	12h_FAST	24h_AL	24h_FAST
Arhgap26	208.10027782351776	151.91443609508048	124.55144992672034	153.14299704024373	157.49780921205888	55.034306377138805	80.23037247096255	116.3286460910039	174.78627975493566	91.79309084860843	198.15625851643836	40.63433738980043
Arhgap27	10.15604460735961	9.256249877736465	6.426039734800003	5.207205812968462	9.3061327256004	10.499537854195122	8.006729238085423	7.805211597571076	4.853379127822335	5.548235418671169	10.997802249933898	9.204049702549781
Arhgap28	0.2389173227927402	0.03747330161338582	0.010815541677328771	0.7775106475267619	0.26247859324473144	0.18027501824449868	0.09157534304196248	0.19127966574701133	0.14438625425964452	0.057555678986189324	0.1621309410686651	0.20776638913254666
Arhgap29	25.249598213659944	14.311515483262038	17.40449904484029	21.509946535374844	20.14145365546584	16.640326901643146	17.572664102509275	15.287549193467456	12.81481140898555	4.401495323958599	18.38315413661809	9.800289762304804
Arhgap30	6.8942727700848945	3.3001064748933473	3.3798290603355126	5.11693036586077	5.4146550390094514	2.0474484440147847	4.387016787450822	5.047291929332225	3.0752550058903285	4.777423876521119	5.307912270079748	5.7431019100801315
Arhgap31	1.3620711578289004	0.8268517872135507	0.450814567731174	1.1977465839508832	1.3539697639230328	0.09206489006560466	0.9768358103787927	0.742268041924513	0.44475016657452143	0.543150623930069	0.7677720425798285	0.8375259098054306
Arhgap32	3.2527328749547095	4.368827630754103	1.0567739114072439	2.4807483807473054	3.226452811356894	1.8338152919760005	2.3245196794962983	1.7537027055748369	0.8135314078698815	0.8511007649142602	3.5226657711814418	2.220459054655229
Arhgap33	3.1860468442384007	3.2619707167383565	2.853977852340156	3.382752932408369	7.155018773275184	6.759863015732424	11.008229551383089	3.4752679566887124	4.635592787006406	3.2320883695645515	4.7730866592041705	2.09364605054351
Arhgap33os	1.7271105235087707	4.020254241896755	2.5785011037274495	5.343038257881032	3.3856530276784937	2.526719860517833	2.53419918519573	7.059370235143371	3.0662956934475147	4.476380856596033	2.769651463052125	3.604803741734428
Arhgap35	4.816335173020478	1.9031532413078018	1.5933341873037912	2.0659402145966803	3.1074819707474424	1.1122400446625846	4.1769659069225185	1.7620722032789873	1.3626572554659977	0.8730210864096071	3.0213281234314766	1.8816028940330063
Arhgap36	0	0.602210782283752	1.0594216586378649	1.1169890322594964	0.32182601781254244	0	0.4293200741257348	0	0.17497784451047058	0	0	0.5485540005898027
Arhgap39	33.16447897302685	36.20655196130488	43.823680242351664	27.14447242161513	30.29719415306885	31.641810576746124	30.66816141975718	47.21791704295039	30.513027189664534	43.16198723769199	31.73603858636751	65.72059566256934
Arhgap4	11.365368041407969	9.859409087894706	4.256841307954497	11.390671700444665	10.239281140069028	1.5925694053584294	6.058780855145468	5.140149898519466	7.17659405574182	2.6910018260516213	12.520540894010546	4.028744084082111
Arhgap40	0.05133071996381394	0.5980943586524827	0.022990361580263984	0.420409983748506	0.15139531989133642	0.06758601319351541	0.07531786005422188	0.1680650096465102	0.045566037443522	0.017353124147328643	0.10289454678215201	0.2216575244700098
Arhgap42	4.404635575163129	2.9128185335666252	2.4439557626353867	3.599122541638623	3.283788922772163	0.597381638361205	3.011092004784849	3.099722641051702	1.7598210445461762	1.359927774390338	3.363269127615159	4.490857959978122
